fixture_id,date,league_id,season,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,status_short,home_formation,away_formation,formation_matchup,home_injuries_count,away_injuries_count,injuries_diff,home_shots_on_goal,away_shots_on_goal,home_total_shots,away_total_shots,home_ball_possession,away_ball_possession,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
1213812,2024-10-20T13:00:00+00:00,61,2024,111,Le Havre,80,Lyon,0,4,FT,3-1-4-2,4-3-3,3-1-4-2 vs 4-3-3,7,3,4,1,8,7,16,38,62,4,6,17,11,3.0,4.0,,,0.49,2.72
1213813,2024-10-20T15:00:00+00:00,61,2024,83,Nantes,84,Nice,1,1,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,6,7,-1,7,7,11,13,42,58,4,8,10,11,2.0,1.0,,,0.49,0.85
1213811,2024-10-20T15:00:00+00:00,61,2024,96,Toulouse,77,Angers,1,1,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,4,8,-4,6,4,18,8,66,34,8,2,11,9,2.0,4.0,,,1.97,1.38
1213810,2024-10-20T15:00:00+00:00,61,2024,108,Auxerre,93,Reims,2,1,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,4,4,0,8,3,10,15,36,64,5,9,6,10,2.0,3.0,,,2.91,1.08
1213814,2024-10-20T18:45:00+00:00,61,2024,82,Montpellier,81,Marseille,0,5,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,8,6,2,5,10,13,21,35,65,3,2,11,18,1.0,3.0,1.0,0.0,1.19,3.36
1213825,2024-10-25T18:45:00+00:00,61,2024,94,Rennes,111,Le Havre,1,0,FT,4-2-3-1,3-1-4-2,4-2-3-1 vs 3-1-4-2,2,6,-4,4,1,20,5,61,39,14,0,10,7,2.0,4.0,0.0,1.0,1.59,0.43
1213826,2024-10-26T15:00:00+00:00,61,2024,77,Angers,1063,Saint Etienne,4,2,FT,4-2-3-1,4-1-4-1,4-2-3-1 vs 4-1-4-1,7,6,1,8,7,13,19,42,58,2,3,10,13,1.0,3.0,,,2.96,1.47
1213827,2024-10-26T17:00:00+00:00,61,2024,93,Reims,106,Stade Brestois 29,1,2,FT,4-3-3,4-2-3-1,4-3-3 vs 4-2-3-1,4,1,3,3,4,11,13,53,47,7,3,15,11,3.0,2.0,,,0.79,1.5
1213820,2024-10-26T19:00:00+00:00,61,2024,116,Lens,79,Lille,0,2,FT,3-4-1-2,4-2-3-1,3-4-1-2 vs 4-2-3-1,5,8,-3,4,3,11,11,58,42,8,2,16,14,4.0,5.0,,,1.09,1.72
1213822,2024-10-27T13:00:00+00:00,61,2024,80,Lyon,108,Auxerre,2,2,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,1,5,-4,8,6,12,19,63,37,5,5,7,15,0.0,4.0,,,2.05,1.54
1213823,2024-10-27T15:00:00+00:00,61,2024,82,Montpellier,96,Toulouse,0,3,FT,4-1-4-1,3-4-3,4-1-4-1 vs 3-4-3,8,1,7,2,6,9,15,52,48,1,3,8,20,1.0,2.0,1.0,0.0,0.21,1.88
1213819,2024-10-27T15:00:00+00:00,61,2024,84,Nice,91,Monaco,2,1,FT,3-4-2-1,4-2-3-1,3-4-2-1 vs 4-2-3-1,4,5,-1,9,5,17,11,40,60,6,6,16,11,2.0,5.0,0.0,1.0,1.63,0.4
1213824,2024-10-27T15:00:00+00:00,61,2024,95,Strasbourg,83,Nantes,3,1,FT,3-4-1-2,4-2-3-1,3-4-1-2 vs 4-2-3-1,6,2,4,5,6,9,8,51,49,5,4,15,17,2.0,3.0,,,1.73,0.76
1213821,2024-10-27T19:45:00+00:00,61,2024,81,Marseille,85,Paris Saint Germain,0,3,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,7,3,4,1,8,5,19,25,75,1,2,4,7,1.0,0.0,1.0,0.0,0.22,3.1
1213830,2024-11-01T18:00:00+00:00,61,2024,91,Monaco,77,Angers,0,1,FT,4-4-2,4-2-3-1,4-4-2 vs 4-2-3-1,7,6,1,3,3,11,10,64,36,4,4,16,12,1.0,1.0,,,1.39,0.46
1213833,2024-11-01T20:00:00+00:00,61,2024,79,Lille,80,Lyon,1,1,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,9,3,6,2,3,14,14,47,53,4,9,12,10,3.0,1.0,,,1.67,1.24
1213836,2024-11-02T16:00:00+00:00,61,2024,85,Paris Saint Germain,116,Lens,1,0,FT,4-3-3,3-4-3,4-3-3 vs 3-4-3,4,6,-2,8,2,18,13,69,31,7,4,3,20,1.0,4.0,0.0,1.0,2.88,0.83
1213835,2024-11-02T18:00:00+00:00,61,2024,106,Stade Brestois 29,84,Nice,0,1,FT,4-3-3,3-4-2-1,4-3-3 vs 3-4-2-1,3,3,0,6,3,16,12,64,36,6,2,9,4,0.0,2.0,,,1.02,1.52
1213834,2024-11-02T20:00:00+00:00,61,2024,1063,Saint Etienne,95,Strasbourg,2,0,FT,4-1-4-1,3-4-1-2,4-1-4-1 vs 3-4-1-2,5,5,0,3,3,13,9,35,65,2,3,9,4,2.0,1.0,,,2.65,0.53
1213829,2024-11-03T14:00:00+00:00,61,2024,96,Toulouse,93,Reims,1,0,FT,3-4-3,4-3-3,3-4-3 vs 4-3-3,1,5,-4,6,2,13,13,51,49,6,7,16,15,0.0,3.0,,,0.88,1.09
1213828,2024-11-03T16:00:00+00:00,61,2024,108,Auxerre,94,Rennes,4,0,FT,3-4-2-1,4-1-4-1,3-4-2-1 vs 4-1-4-1,5,2,3,8,4,16,7,39,61,3,8,11,15,0.0,2.0,,,2.79,0.8
1213831,2024-11-03T16:00:00+00:00,61,2024,111,Le Havre,82,Montpellier,1,0,FT,3-1-4-2,3-4-3,3-1-4-2 vs 3-4-3,8,8,0,4,1,12,15,48,52,2,10,11,13,2.0,1.0,,,2.18,1.01
1213832,2024-11-03T19:45:00+00:00,61,2024,83,Nantes,81,Marseille,1,2,FT,4-2-3-1,4-2-3-1,4-2-3-1 vs 4-2-3-1,3,7,-4,3,4,7,9,26,74,2,5,16,6,1.0,1.0,,,1.36,1.22
1213837,2024-11-08T19:45:00+00:00,61,2024,81,Marseille,108,Auxerre,1,3,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,5,7,-2,5,6,19,10,74,26,5,3,13,16,3.0,2.0,,,2.59,1.92
1213841,2024-11-09T16:00:00+00:00,61,2024,95,Strasbourg,91,Monaco,1,3,FT,3-4-3,4-2-3-1,3-4-3 vs 4-2-3-1,5,4,1,2,8,5,19,42,58,1,2,16,18,5.0,2.0,,,0.79,3.89
1213842,2024-11-09T18:00:00+00:00,61,2024,116,Lens,83,Nantes,3,2,FT,3-4-2-1,3-4-3,3-4-2-1 vs 3-4-3,6,4,2,3,3,15,9,68,32,6,1,14,8,2.0,0.0,,,2.99,1.42
1213845,2024-11-09T20:00:00+00:00,61,2024,77,Angers,85,Paris Saint Germain,2,4,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,5,4,1,3,12,10,26,30,70,6,8,5,16,0.0,3.0,,,1.03,3.5
1213844,2024-11-10T14:00:00+00:00,61,2024,84,Nice,79,Lille,2,2,FT,3-4-3,4-3-3,3-4-3 vs 4-3-3,3,9,-6,5,6,17,13,43,57,6,2,12,9,2.0,2.0,,,2.11,1.68
1213839,2024-11-10T16:00:00+00:00,61,2024,82,Montpellier,106,Stade Brestois 29,3,1,FT,4-2-3-1,4-3-3,4-2-3-1 vs 4-3-3,8,1,7,8,6,14,19,33,67,3,7,18,13,5.0,1.0,,,2.47,0.93
1213843,2024-11-10T16:00:00+00:00,61,2024,94,Rennes,96,Toulouse,0,2,FT,4-2-3-1,3-4-2-1,4-2-3-1 vs 3-4-2-1,1,1,0,1,2,7,9,67,33,5,3,16,16,3.0,1.0,,,0.5,1.46
